path	server_params_scanned
/aliapp/api/aliapp/authcodetouserid	
/aliapp/api/aliapp/messagetmplids	
/api/address/analysesaddress	address
/api/address/lists	pid
/api/adv/detail	keyword
/api/article/category	
/api/article/info	article_id
/api/article/lists	article_id_arr,category_id,num
/api/article/page	article_id_arr,category_id,page,page_size
/api/captcha/captcha	
/api/cart/add	num,sku_id
/api/cart/delete	cart_id
/api/cart/edit	cart_id,num
/api/cart/editcartsku	
/api/cart/goodslists	
/api/cart/goodsnum	
/api/cart/lists	
/api/cartcalculate/calculate	
/api/config/gemapconfig	
/api/config/getapiconfig	
/api/config/getcaptchaconfig	
/api/config/init	
/api/config/promotionzoneconfig	name
/api/diyview/info	id,name,weapp_id
/api/financecost/mylist	page,page_size
/api/financecost/pendingconfirmcount	
/api/financecost/wxconfirmpackage	expense_id,id
/api/findpassword/mobile	
/api/findpassword/mobilecode	
/api/goods/aftersale	
/api/goods/defaultsearchwords	
/api/goods/goodsbarrage	goods_id
/api/goods/hotsearchwords	
/api/goods/modifyclicks	sku_id
/api/goods/poster	
/api/goods/shareimg	
/api/goodsbrand/page	
/api/goodsbrowse/add	goods_id,sku_id
/api/goodsbrowse/delete	id
/api/goodsbrowse/page	page,page_size
/api/goodscategory/tree	categoryId,category_id,level,weapp_id
/api/goodscollect/add	goods_id,sku_id,sku_image,sku_name,sku_price
/api/goodscollect/delete	goods_id
/api/goodscollect/page	page,page_size
/api/goodsevaluate/add	goods_evaluate,is_anonymous,member_headimg,member_name,order_id,order_no
/api/goodsevaluate/again	goods_evaluate,order_id
/api/goodsevaluate/config	
/api/goodsevaluate/getgoodsevaluate	goods_id
/api/goodsevaluate/page	goods_id,page,page_size
/api/goodssku/components	category_id,goods_id_arr,num,order
/api/goodssku/detail	goods_id,share_member,sku_id
/api/goodssku/getinfoforcategory	sku_id
/api/goodssku/goodssku	goods_id
/api/goodssku/goodsskubycategory	goods_id
/api/goodssku/page	category_id,coupon,goods_id_arr,is_free_shipping,max_price,min_price,order,page,page_size,sort
/api/goodssku/pagebycategory	category_id,category_ids,order,page,page_size,sort
/api/goodssku/pagecomponents	category_id,category_ids,goods_id_arr,order,page,page_size
/api/goodssku/recommend	page,page_size,route
/api/help/info	id
/api/helpclass/lists	
/api/login/auth	weapp_openid
/api/login/authonlylogin	
/api/login/login	
/api/login/mobile	code,mobile
/api/login/mobilecode	
/api/member/accountrule	
/api/member/altersharerelation	
/api/member/bindmobliecode	
/api/member/checkmobile	mobile
/api/member/info	
/api/member/logsharebind	from_page,goods_id,share_path,share_type,sharer_member_id
/api/member/membereqrcode	
/api/member/mobileauth	mobile
/api/member/modifyaddress	
/api/member/modifybirthday	birthday
/api/member/modifyheadimg	headimg
/api/member/modifymobile	code,mobile
/api/member/modifynickname	nickname
/api/member/modifypassword	new_password,old_password
/api/member/modifypaypassword	code
/api/member/modifyrealname	realname
/api/member/modifysex	sex
/api/member/modifyusername	username
